         5626494 function calls (5602257 primitive calls) in 17.649 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:163(__enter__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
     23/8    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(__exit__)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(cached)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
     19/8    0.000    0.000    0.013    0.002 <frozen importlib._bootstrap>:659(_load_unlocked)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:879(_find_spec)
     21/8    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:94(acquire)
     21/8    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:966(_find_and_load)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
       17    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:656(create_module)
     17/8    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap_external>:659(exec_module)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
       17    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:729(get_code)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
